sentence,label
Jan uśmiecha się i Paweł wie dlaczego.,"Jan uśmiecha się i Paweł wie, dlaczego Jan się uśmiecha."
"Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy.","Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy pójdziemy do baru."
Co roku on przypadkowo rozbija kubek i jego matka też.,Co roku on przypadkowo rozbija kubek i jego matka też rozbija kubek.
"Granica Finlandii z Rosją jest długa, __ z Norwegią _ krótka, a __ ze Szwecją _ średniej długości.","Granica Finlandii z Rosją jest długa, a z Norwegią jest krótka, a granica ze Szwecją jest średniej długości."
Więc jakie!?,Więc jakie!?
"Ja mogę widzieć bez okularów, ale moja żona nie może.","Ja mogę widzieć bez okularów, ale moja żona nie może widzieć bez okularów."
Kocham ją i ona mnie.,Kocham ją i ona mnie kocha.
Nienawidzę Marka i ciebie też.,Nienawidzę Marka i ciebie też nienawidzę.
"Nie umiem tańczyć, a mój brat pływać.","Nie umiem tańczyć, a mój brat umie pływać."
Ojcowi.,Ojcowi.
"Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja rano.","Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja biorę prysznic rano."
"Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej.","Przyjaciółka zawsze poleca mi nową muzykę, ale ja jeszcze słucham starej."
"Marian często spotyka się z nowymy osobami, a Ewa rzadko.","Marian często spotyka się z nowymi osobami, a Ewa rzadko spotyka się z nowymi osobami."
"Sara chce narysować lódkę, a Piotr samolot.","Sara chce narysować lódkę, a Piotr samolot."
"Demokraci głosują za nowym prawem, ale Republikanie przciew.","Demokraci głosują za nowym prawem, ale Republikanie są przeciw."
"Oni kupili dmuchany zamek, ale nie wiadomo komu.","Oni kupili dmuchany zamek, ale nie wiadomo komu kupili dmuchany zamek."
"My pojedziemy do parku samochodem, a one rowerem.","My pojedziemy do parku samochodem, a one pojedą do parku rowerem."
"Oni mogą biegać szybciej, niż ja.","Oni mogą biegać szybciej, niż ja mogę biegać."
"Mój brat myśli, że lepiej polować łukiem, niż karabinem.","Mój brat myśli, że lepiej polować łukiem, niż karabinem."
"Oni przyszli do mnie nie w środę, a raczej w czwartek.","Oni przyszli do mnie nie w środę, a raczej w czwartek."
"Przyszliśmy tu, bo chcieliśmy.","Przyszliśmy tu, bo chcieliśmy tu przyjść."
"Coś kupili na rynku, ale jeszcze nam nie powiedzieli co.","Coś kupili na rynku, ale jeszcze nam nie powiedzieli, co kupili na rynku."
"On naprawił mój samochód, ale nie rozuiem jak.","On naprawił mój samochód, ale nie rozumiem, jak go naprawił."
"On dobrze rozumie matemetykę, i biologię też.","On dobrze rozumie matemetykę, i biologię też rozumie dobrze."
Dlaczego?,Dlaczego?
"Zadałem mu trzy pytania, a jej tylko dwa.","Zadałem mu trzy pytania, a jej tylko dwa pytania."
"Nie jem tyle, ile on.","Nie jem tyle, ile on je."
"Teraz oni mówią po ukrainsku, nie rosyjsku.","Teraz oni mówią po ukrainsku, nie po rosyjsku."
"Kasia gra na klarnecie, a Nina na pianinie.","Kasia gra na klarnecie, a Nina gra na pianinie."
"Moi przyjaciele pojadą dotąd samolotem, a ja samochodem.","Moi przyjaciele pojadą dotąd samolotem, a ja samochodem pojadę dotąd."
